stock,avg_wt
s0,158.5488
s1,311.2021
s10,308.1039
s100,466.5337
s1000,113.7752
s10000,107.2513
s10001,215.7219
s10002,211.5955
s10003,344.4141
s10004,105.6652
s10005,135.31
s10006,261.9656
s10007,403.0441
s10008,450.1897
s10009,311.9471
s1001,76.9877
s10010,344.5157
s10011,457.2244
s10012,58.24578
s10013,152.8571
s10014,343.4798
s10015,230.7821
s10016,280.2741
s10017,252.1769
s10018,365.6161
s10019,404.2028
s1002,490.4627
s10020,439.566
s10021,155.5338
s10022,78.56788
s10023,283.0982
s10024,90.35303
s10025,292.0884
s10026,328.8439
s10027,336.4128
s10028,132.5421
s10029,205.5155
s1003,238.7895
s10030,59.92245
s10031,293.1318
s10032,118.6799
s10033,328.6225
s10034,121.2408
s10035,468.7848
s10036,432.6571
s10037,371.9491
s10038,418.0934
s10039,442.8294
s1004,262.581
s10040,397.9338
s10041,193.0285
s10042,398.035
s10043,195.6392
s10044,484.9268
s10045,348.8121
s10046,79.46702
s10047,430.0607
s10048,287.6796
s10049,489.7974
s1005,63.14374
s10050,86.60976
s10051,165.3846
s10052,118.9917
s10053,401.531
s10054,81.79167
s10055,338.2261
s10056,410.2913
s10057,494.2211
s10058,313.3234
s10059,128.5591
s1006,437.7411
s10060,160.9395
s10061,176.0803
s10062,145.7809
s10063,302.4131
s10064,403.1075
s10065,98.53273
s10066,149.125
s10067,347.1535
s10068,66.81174
s10069,270.934
s1007,149.1772
s10070,297.9685
s10071,344.2258
s10072,109.2451
s10073,327.5409
s10074,314.5375
s10075,252.4113
s10076,139.9607
s10077,305.5017
s10078,206.0496
s10079,343.1053
s1008,149.5451
s10080,235.1469
s10081,75.33825
s10082,118.2669
s10083,88.3157
s10084,355.2406
s10085,233.8391
s10086,386.6663
s10087,470.1469
s10088,271.9533
s10089,390.596
s1009,142.2326
s10090,258.3688
s10091,213.7029
s10092,386.4498
s10093,335.1846
s10094,88.6266
s10095,257.6609
s10096,481.2582
s10097,228.3138
s10098,480.9254
s10099,457.6536
s101,469.2634
s1010,477.3505
s10100,110.7728
s10101,196.9801
s10102,333.9606
s10103,106.3454
s10104,124.5332
s10105,189.1582
s10106,275.5301
s10107,254.9115
s10108,323.7912
s10109,54.21398
s1011,265.6219
s10110,465.2647
s10111,294.1907
s10112,297.4469
s10113,178.7627
s10114,303.0419
s10115,450.4773
s10116,70.94926
s10117,312.2472
s10118,236.8426
s10119,398.2231
s1012,329.6016
s10120,434.9173
s10121,169.9738
s10122,463.2908
s10123,142.3255
s10124,64.41599
s10125,170.6854
s10126,266.0125
s10127,395.8322
s10128,88.55768
s10129,210.998
s1013,361.8528
s10130,108.4866
s10131,63.16179
s10132,164.915
s10133,298.7122
s10134,330.1162
s10135,138.8537
s10136,383.2689
s10137,322.2201
s10138,205.5624
s10139,219.4791
s1014,165.8562
s10140,268.4932
s10141,483.1079
s10142,280.0338
s10143,139.3288
s10144,112.9254
s10145,480.5598
s10146,68.22231
s10147,265.0716
s10148,105.6327
s10149,196.2033
s1015,228.2318
s10150,141.908
s10151,480.5694
s10152,406.953
s10153,140.208
s10154,98.51468
s10155,192.4426
s10156,290.6359
s10157,114.9441
s10158,201.8526
s10159,159.9793
s1016,277.5833
s10160,458.5156
s10161,65.23839
