stock,max_price_difference
s0,45
s1,23
s10,80
s100,19
s1000,24
s10000,49
s10001,45
s10002,107
s10003,26
s10004,50
s10005,36
s10006,23
s10007,51
s10008,23
s10009,35
s1001,24
s10010,30
s10011,47
s10012,32
s10013,67
s10014,39
s10015,17
s10016,18
s10017,50
s10018,17
s10019,47
s1002,21
s10020,38
s10021,57
s10022,22
s10023,26
s10024,80
s10025,62
s10026,25
s10027,60
s10028,63
s10029,67
s1003,47
s10030,28
s10031,41
s10032,123
s10033,43
s10034,35
s10035,92
s10036,16
s10037,44
s10038,35
s10039,131
s1004,29
s10040,55
s10041,15
s10042,43
s10043,30
s10044,27
s10045,24
s10046,58
s10047,69
s10048,55
s10049,43
s1005,37
s10050,47
s10051,51
s10052,35
s10053,31
s10054,20
s10055,26
s10056,27
s10057,22
s10058,49
s10059,14
s1006,35
s10060,50
s10061,53
s10062,43
s10063,44
s10064,61
s10065,24
s10066,77
s10067,27
s10068,24
s10069,42
s1007,21
s10070,31
s10071,79
s10072,46
s10073,37
s10074,104
s10075,50
s10076,42
s10077,69
s10078,111
s10079,155
s1008,17
s10080,71
s10081,28
s10082,33
s10083,34
s10084,20
s10085,33
s10086,52
s10087,46
s10088,23
s10089,38
s1009,13
s10090,39
s10091,55
s10092,36
s10093,47
s10094,71
s10095,56
s10096,24
s10097,13
s10098,15
s10099,47
s101,50
s1010,42
s10100,29
s10101,27
s10102,35
s10103,36
s10104,63
s10105,52
s10106,32
s10107,36
s10108,21
s10109,16
s1011,47
s10110,27
s10111,49
s10112,29
s10113,39
s10114,36
s10115,43
s10116,50
s10117,30
s10118,50
s10119,57
s1012,28
s10120,28
s10121,38
s10122,27
s10123,46
s10124,50
s10125,42
s10126,25
s10127,18
s10128,46
s10129,39
s1013,25
s10130,124
s10131,34
s10132,25
s10133,54
s10134,52
s10135,31
s10136,36
s10137,51
s10138,66
s10139,30
s1014,42
s10140,52
s10141,35
s10142,28
s10143,93
s10144,52
s10145,54
s10146,26
s10147,97
s10148,19
s10149,34
s1015,21
s10150,81
s10151,38
s10152,34
s10153,60
s10154,32
s10155,25
s10156,72
s10157,71
s10158,55
s10159,24
s1016,76
s10160,28
s10161,43
s10162,33
s10163,52
s10164,47
s10165,26
s10166,51
s10167,34
s10168,18
s10169,39
s1017,23
s10170,49
s10171,121
s10172,68
s10173,30
s10174,44
s10175,43
s10176,53
s10177,22
s10178,39
s10179,47
s1018,33
s10180,15
s10181,24
s10182,48
s10183,62
s10184,22
s10185,103
s10186,39
s10187,50
s10188,58
s10189,63
s1019,29
s10190,17
s10191,37
s10192,124
s10193,19
s10194,20
s10195,27
s10196,49
s10197,27
s10198,55
s10199,26
s102,25
s1020,67
s10200,32
s10201,129
s10202,18
s10203,52
s10204,62
s10205,35
s10206,39
s10207,40
s10208,32
s10209,83
s1021,76
s10210,30
s10211,24
s10212,41
s10213,25
s10214,42
s10215,74
s10216,20
s10217,18
s10218,30
s10219,83
s1022,39
s10220,68
s10221,38
s10222,43
s10223,30
s10224,39
s10225,40
s10226,37
s10227,29
s10228,20
s10229,33
s1023,71
s10230,30
s10231,42
s10232,20
s10233,58
s10234,15
s10235,58
s10236,31
s10237,26
s10238,25
s10239,17
